# {"t_start": 1704792580.1884503, "env_id": "PctDiscrete-v0"} 
r,l,t
5.27,22,1874.86873
6.49,26,1882.645821
7.09,37,1893.872447
5.84,22,1900.523627
5.11,22,1906.845986
6.55,25,1914.059947
6.26,27,1922.021331
6.11,25,1929.549281
7.78,44,1943.00491
5.65,19,1948.776018
7.46,31,1957.956707
6.36,37,1969.277181
4.58,33,1979.151838
6.83,23,1985.735122
5.65,25,1992.652763
6.64,29,2001.473812
5.37,23,2008.478635
5.39,27,2016.690644
5.39,24,2023.754567
5.16,20,2030.188719
6.84,27,2038.117418
5.85,21,2044.488696
5.43,22,2051.104616
5.3,27,2059.209935
5.08,21,2065.653262
6.83,21,2071.709031
6.54,27,2080.070419
7.22,36,2090.651091
6.14,23,2097.513419
6.74,29,2105.738961
4.69,22,2112.370218
5.7,25,2119.932056
5.26,25,2127.748847
5.78,26,2135.330667
5.63,31,2144.061626
4.94,18,2149.512841
7.73,37,2160.453502
6.13,29,2169.006546
6.66,24,2176.181108
6.67,32,2185.586658
7.9,33,2195.064842
7.02,24,2202.2187
6.73,33,2212.217079
5.16,23,2219.143449
4.57,20,2225.058273
6.29,25,2232.372537
6.56,33,2242.213635
6.39,27,2250.098021
5.71,17,2255.312053
5.09,11,2258.66025
6.62,33,2269.432758
5.63,19,2275.10033
5.67,22,2281.680254
5.71,16,2286.425857
5.35,28,2295.037826
6.33,32,2304.499992
7.76,24,2311.822059
7.22,28,2320.500484
6.74,19,2326.121524
5.73,22,2332.698494
6.43,26,2340.154376
6.1,22,2346.805177
6.55,37,2358.326606
5.49,21,2364.489948
6.3,23,2371.565693
7.21,32,2380.786662
5.52,27,2389.265225
6.57,25,2396.394327
5.4,19,2402.43185
6.28,32,2411.730542
5.84,25,2419.58153
7.44,28,2427.542966
6.43,25,2435.083125
4.44,20,2441.003975
6.43,23,2447.997018
5.2,24,2454.993473
7.54,27,2463.160988
6.39,29,2471.871432
1.74,10,2474.678719
7.78,40,2486.896198
5.67,24,2494.493052
6.82,21,2500.754973
5.89,20,2506.905526
7.16,28,2515.487643
4.14,18,2520.775851
7.46,32,2531.073759
7.08,32,2540.678098
5.24,24,2547.779299
5.35,19,2553.389698
6.08,24,2560.529125
4.02,16,2565.143879
5.95,21,2571.882677
5.96,21,2578.448074
6.4,23,2585.824972
6.7,30,2594.942147
6.7,20,2601.224218
6.59,28,2610.294033
6.27,21,2616.83412
5.72,25,2624.455325
5.64,19,2630.039877
7.69,29,2638.510755
6.77,39,2650.527405
4.31,22,2657.128152
6.01,19,2662.731284
6.87,32,2673.55085
6.46,27,2686.690778
4.47,17,2691.866556
5.61,26,2699.936553
6.47,28,2710.279274
6.29,24,2717.588658
6.67,28,2725.914755
5.99,28,2735.779661
6.53,25,2743.698334
6.11,22,2753.847968
5.95,28,2762.541688
5.41,18,2767.802782
7.88,42,2780.349612
6.83,30,2789.261135
7.19,25,2796.885241
6.86,25,2804.383358
5.22,25,2811.912718
6.5,17,2817.8682
6.18,22,2826.305659
6.57,22,2833.302972
6.74,27,2841.6504
6.71,35,2853.11077
7.55,32,2863.326679
3.06,10,2866.323183
6.26,27,2877.909233
7.34,34,2888.487392
7.31,35,2900.169138
7.5,32,2910.841518
6.6,29,2920.269891
7.64,25,2930.363368
6.39,25,2938.609966
5.23,23,2945.591765
6.38,38,2959.805148
6.42,21,2966.461117
6.2,23,2973.187242
6.0,22,2980.156186
6.32,20,2986.222677
5.56,15,2991.045034
6.01,19,2997.502504
6.35,19,3002.742867
6.85,23,3010.081815
6.8,40,3022.311685
6.59,38,3034.082594
6.39,34,3046.376453
4.17,17,3051.46957
6.65,30,3062.902395
5.81,21,3068.957166
6.02,20,3074.572032
6.29,24,3081.70096
6.99,22,3088.05707
6.89,27,3096.200505
5.57,18,3101.983811
5.83,20,3108.428497
5.99,24,3115.598674
6.83,34,3127.178611
6.45,25,3134.842622
5.6,17,3139.960414
7.06,28,3148.241278
6.58,26,3156.396254
5.71,20,3163.710116
6.41,20,3170.024208
6.13,23,3176.889483
7.15,24,3183.930638
6.28,21,3190.224265
6.45,31,3199.029281
6.26,17,3204.32144
7.42,31,3213.578366
6.23,36,3224.478284
6.07,20,3230.702756
7.22,35,3242.997968
6.53,20,3249.419145
7.0,24,3256.01598
6.76,23,3262.909014
6.19,23,3269.744369
6.19,28,3277.688817
5.8,21,3283.794196
7.91,32,3294.067839
5.38,27,3302.002585
6.96,25,3310.738935
7.86,23,3317.647821
5.31,26,3325.349485
6.05,21,3331.420361
7.3,35,3341.742419
7.62,29,3350.418026
5.5,25,3358.111643
6.29,21,3364.276167
7.13,32,3374.126504
4.9,21,3380.447984
5.71,24,3387.53903
5.97,29,3395.857643
6.82,21,3402.214247
5.66,29,3410.390985
6.12,25,3418.124053
6.92,32,3427.771996
5.4,18,3433.219535
5.43,19,3438.707076
7.58,30,3448.136307
6.66,23,3454.947612
6.92,30,3464.758854
5.45,22,3472.274025
6.06,24,3482.007332
7.37,30,3491.557003
6.74,28,3500.160079
6.57,25,3508.192687
6.81,35,3520.887669
6.61,33,3532.937907
7.09,29,3542.21539
6.47,25,3549.583418
7.36,19,3555.231881
6.55,28,3563.617332
7.07,29,3574.807009
6.33,23,3581.849255
7.91,30,3590.669479
6.58,28,3598.703719
6.06,25,3606.553209
7.08,23,3613.752646
6.84,37,3626.97886
6.15,24,3635.192487
5.37,18,3641.744003
6.62,30,3651.72523
6.64,31,3661.233298
6.95,24,3668.903025
7.61,33,3679.083111
6.07,29,3687.822744
6.91,30,3696.679918
6.87,29,3705.086901
6.61,22,3711.677933
6.92,27,3719.828486
4.84,16,3724.925329
7.17,28,3732.950748
5.73,22,3739.476197
6.86,24,3746.632735
7.28,31,3755.893321
6.59,36,3766.533483
6.48,21,3772.651315
5.44,23,3779.659387
7.45,25,3787.522794
5.67,21,3793.786247
7.26,34,3803.913529
7.6,32,3813.461428
7.01,32,3822.986841
7.7,24,3830.073553
7.0,33,3839.543571
7.38,30,3848.115074
5.73,26,3855.508751
7.35,28,3864.023732
6.63,32,3873.611915
7.88,23,3880.451072
6.9,26,3887.799327
6.98,36,3898.12368
2.56,12,3901.654039
7.55,32,3911.651342
6.84,24,3918.632388
7.52,28,3926.954398
6.41,23,3933.770356
7.36,28,3941.673208
3.17,18,3946.608497
7.59,31,3955.894051
5.58,24,3962.464872
7.78,32,3972.059439
6.46,21,3978.092996
6.99,23,3984.717005
7.46,30,3993.202133
7.34,27,4000.665736
5.9,26,4008.287254
7.17,32,4017.624471
6.25,29,4026.075597
5.46,29,4034.440975
6.81,36,4045.194465
7.62,28,4053.47793
7.16,33,4062.848938
6.16,27,4070.920669
6.06,23,4077.531016
6.36,29,4085.737527
7.23,33,4095.493693
6.68,34,4105.150748
6.45,21,4111.064491
4.74,19,4116.863447
6.89,25,4123.822156
5.38,21,4129.806433
6.42,25,4136.71179
8.13,28,4144.980973
7.84,40,4156.342424
7.53,26,4163.936409
5.78,22,4170.210989
5.22,24,4177.083643
6.63,33,4186.689966
6.57,32,4196.075873
8.06,31,4206.036392
