# {"t_start": 1704792580.1884503, "env_id": "PctDiscrete-v0"} 
r,l,t
6.44,24,159780.719269
6.57,28,159788.74769
7.14,37,159799.077041
8.73,38,159809.70523
7.96,32,159818.14771
7.4,30,159826.497931
7.95,29,159834.558694
7.71,34,159844.189404
8.11,32,159852.908569
7.12,36,159863.104037
8.01,32,159872.229664
7.81,35,159881.960597
7.65,30,159890.285024
7.24,25,159897.883043
7.23,27,159905.107882
8.11,26,159913.132957
6.8,24,159919.443128
8.17,29,159927.701668
7.13,27,159934.892982
7.66,26,159942.497589
6.89,23,159948.771878
6.72,23,159955.626114
7.44,35,159965.432671
7.7,28,159973.726804
7.36,24,159980.440808
8.38,26,159988.04981
6.06,22,159993.891437
7.58,37,160004.364846
7.35,30,160013.247438
7.43,34,160022.621917
7.29,27,160030.120239
8.11,36,160040.666687
5.12,24,160047.035986
6.27,32,160055.819364
7.02,28,160063.500574
8.03,34,160073.004082
8.13,23,160079.736341
6.56,33,160089.094331
7.43,28,160097.275805
8.24,39,160108.062458
7.23,26,160115.445774
6.68,29,160123.483933
6.62,25,160130.574949
7.5,37,160141.154979
7.48,27,160148.635285
5.76,22,160155.516383
8.31,24,160162.036611
6.47,30,160171.026655
6.95,28,160179.079159
5.11,22,160185.199662
7.34,28,160193.289284
5.86,33,160202.501389
6.44,22,160208.701836
8.11,31,160217.248773
6.72,26,160224.449267
6.8,31,160233.186454
7.38,32,160242.427512
7.19,25,160249.753426
7.21,29,160257.175411
5.71,25,160264.650079
7.37,25,160271.493526
8.59,32,160281.138813
7.69,29,160288.898982
7.32,31,160297.808862
7.05,39,160308.573462
7.69,37,160318.68189
7.72,32,160327.742332
7.19,20,160333.178617
6.15,21,160338.977926
6.77,28,160346.161955
7.28,39,160356.919728
7.21,30,160365.647415
7.24,33,160375.295285
6.17,29,160383.035084
8.25,29,160391.425822
7.1,36,160401.657342
4.57,17,160406.546939
8.32,41,160418.152052
7.04,31,160426.456519
7.73,31,160435.59674
7.63,28,160443.271568
7.67,18,160448.340583
6.84,28,160456.12785
7.22,33,160465.130426
6.37,24,160471.834468
7.11,25,160478.932542
7.42,38,160490.097246
8.07,24,160496.617811
6.89,25,160503.983478
7.4,23,160510.840713
7.57,32,160520.09336
6.58,27,160527.519246
7.37,20,160533.265288
6.79,25,160539.934061
5.86,21,160546.299457
6.14,31,160554.960891
7.74,28,160562.958626
7.03,24,160569.730901
6.81,32,160579.021028
6.47,25,160585.649816
6.87,34,160595.849573
8.26,32,160605.191406
8.36,32,160613.737706
6.97,25,160620.86765
6.63,25,160627.590563
6.49,29,160635.680221
5.49,19,160641.019342
6.54,25,160648.274821
8.37,41,160659.405539
7.21,26,160666.536803
7.84,33,160675.998958
7.46,41,160688.031839
7.75,35,160697.612849
8.0,22,160704.146341
8.1,24,160710.786045
7.15,36,160721.007619
7.8,26,160728.370806
6.92,22,160734.18926
7.04,32,160743.041166
8.53,35,160752.492665
7.44,35,160762.777019
6.43,24,160769.649825
6.47,29,160778.411024
7.68,30,160786.542813
8.76,31,160794.906764
7.94,29,160803.633835
7.44,31,160812.567381
7.9,39,160823.43948
7.89,37,160833.625834
7.36,37,160844.371095
7.63,31,160853.01208
6.72,26,160860.662413
7.99,33,160870.169782
7.94,27,160877.710926
7.85,30,160886.635554
7.87,24,160893.297508
7.75,32,160902.139581
5.88,22,160908.039557
7.21,26,160915.526375
8.04,30,160923.974447
7.76,34,160933.546556
7.79,28,160941.783469
7.65,37,160952.078095
8.23,29,160960.100227
7.73,24,160966.932635
7.44,27,160974.842455
6.08,25,160981.829789
8.11,32,160990.945544
7.46,31,160999.839222
6.98,23,161006.199626
8.04,36,161016.585336
7.57,30,161024.940339
7.72,29,161033.106659
7.0,31,161042.089137
7.96,24,161048.405201
6.08,24,161055.22625
6.72,26,161062.277548
7.61,34,161072.128433
6.92,28,161079.811334
7.7,39,161090.873514
7.43,34,161100.567887
8.87,30,161108.692801
6.88,30,161117.197472
7.34,29,161125.78733
7.28,33,161135.040601
7.31,26,161142.367368
6.95,23,161148.895832
6.54,26,161156.62443
6.85,25,161163.694544
6.9,24,161170.740042
7.77,30,161178.734504
8.16,24,161185.782272
6.55,25,161192.949306
8.67,35,161203.112935
7.51,34,161212.797329
6.74,19,161218.452123
6.73,25,161225.742007
7.88,29,161233.658355
8.44,37,161244.252293
6.67,29,161253.11379
7.23,23,161259.250988
7.59,31,161268.494448
7.78,32,161277.122832
8.05,33,161286.533489
7.86,28,161294.630935
8.61,45,161307.492329
7.0,34,161317.414682
8.14,35,161327.656856
6.59,24,161334.224289
7.12,29,161342.734123
7.75,29,161350.954804
7.18,34,161360.854856
5.97,22,161367.254889
8.45,35,161377.143217
7.71,40,161389.220979
7.49,23,161395.630985
7.54,39,161406.76062
6.85,33,161416.635923
7.35,22,161422.687494
7.72,29,161431.074086
7.42,31,161440.239069
7.63,32,161448.856621
6.84,27,161456.975028
6.66,27,161464.254926
6.2,32,161473.075745
6.92,21,161479.179785
6.08,23,161486.231227
7.34,28,161494.131002
6.19,28,161501.68982
7.04,43,161513.867672
7.58,31,161522.190487
7.64,31,161530.722396
7.5,26,161538.606042
6.91,29,161546.460632
6.91,37,161557.156814
7.32,39,161568.31137
6.74,29,161576.411126
5.91,26,161584.151534
7.35,29,161591.868857
6.83,21,161598.268159
7.54,33,161607.569732
6.18,32,161616.50129
7.4,34,161626.211179
7.64,32,161634.776678
6.89,26,161642.666423
7.33,25,161649.302513
7.56,25,161656.593421
8.27,29,161664.766288
6.4,23,161671.304034
7.1,31,161680.277667
6.62,28,161688.41872
4.12,20,161694.067754
7.79,35,161703.868794
6.8,29,161712.530891
7.03,21,161718.133462
6.49,25,161725.456698
6.59,18,161730.812068
6.8,26,161738.232412
6.54,26,161745.214708
6.48,27,161753.020609
7.19,24,161759.522889
7.51,28,161767.757467
6.52,31,161776.268225
6.86,26,161783.872607
7.23,30,161792.122007
5.27,25,161799.701199
7.54,30,161808.094928
7.13,33,161817.955551
7.74,28,161825.851513
6.28,27,161833.602964
6.94,30,161842.448313
6.89,27,161849.980926
7.3,29,161858.498411
7.29,27,161866.584297
8.2,33,161875.332032
7.82,33,161884.824636
7.97,30,161893.518312
7.22,25,161901.088705
5.9,28,161909.253906
8.1,29,161917.533665
8.51,29,161925.937827
7.82,26,161933.059346
7.88,23,161939.77913
7.44,36,161949.949219
7.49,30,161958.693729
7.83,25,161965.680451
7.28,30,161974.380684
7.41,28,161983.019762
7.77,31,161991.31426
8.57,34,162001.383292
7.83,30,162010.34119
6.63,20,162016.076525
7.44,28,162023.613746
6.48,28,162031.47514
6.92,27,162039.242168
8.45,33,162048.05657
7.29,31,162056.95741
4.83,26,162064.146121
6.58,22,162071.131639
6.78,28,162078.706361
7.9,24,162085.375385
7.14,18,162090.388981
6.9,30,162099.280924
7.2,28,162106.763814
6.74,22,162113.384755
6.92,25,162120.16883
8.03,32,162129.475464
7.36,28,162138.164557
7.38,24,162145.73351
7.92,32,162156.446512
7.62,39,162168.474054
7.74,32,162178.035508
7.21,31,162187.677684
6.86,33,162197.033121
6.3,24,162204.068644
6.11,22,162210.105118
7.28,23,162216.617084
8.58,34,162225.713172
7.6,36,162236.194295
6.3,28,162243.956281
7.33,30,162252.400388
7.55,44,162265.229863
7.8,31,162273.908294
7.75,35,162284.276374
5.08,15,162288.654286
7.58,30,162296.912931
6.58,26,162304.789828
7.75,33,162314.842508
7.42,27,162322.605816
7.21,35,162332.768295
7.76,30,162341.111174
7.51,30,162349.568401
6.76,25,162356.661048
7.74,29,162365.018243
6.41,25,162372.438855
7.06,25,162379.529115
7.49,33,162388.825042
7.77,32,162397.530313
7.97,30,162406.299488
7.08,29,162415.146033
7.28,22,162421.177489
7.4,30,162430.227868
7.38,26,162437.441155
7.73,32,162446.616855
7.87,33,162455.857976
7.34,27,162463.922104
7.23,26,162471.524084
6.99,25,162478.403416
7.34,26,162485.976239
7.21,26,162493.523376
6.27,24,162500.708905
7.88,40,162511.767385
6.88,23,162518.778188
6.85,33,162527.988743
6.18,27,162536.076725
6.42,22,162542.077677
7.1,33,162551.507733
6.82,30,162560.24788
7.17,28,162567.987908
6.08,33,162577.284574
7.11,28,162585.105217
8.53,38,162595.861229
7.76,36,162606.373312
7.01,26,162613.532959
8.44,31,162622.984109
8.18,29,162631.303393
7.32,28,162638.953191
7.14,31,162647.808954
6.64,31,162656.402658
6.88,31,162665.174312
7.29,26,162672.750674
7.03,33,162681.893883
7.42,32,162691.389906
5.2,24,162697.886138
7.43,36,162708.128804
7.02,26,162715.559216
7.65,23,162722.081873
7.34,33,162731.805853
7.22,21,162737.576393
6.28,24,162744.29705
7.11,34,162753.45421
6.87,28,162761.717463
7.75,30,162770.053431
7.41,24,162777.218195
6.72,20,162782.869529
7.5,24,162789.48947
6.8,18,162794.263219
7.89,33,162803.891028
6.12,24,162810.847019
7.26,28,162818.598611
7.91,30,162827.125747
6.68,30,162835.780746
8.09,40,162846.959659
6.59,24,162853.464236
7.16,34,162863.126645
5.89,22,162869.568104
7.42,30,162878.035345
7.47,35,162888.071807
6.92,33,162897.441138
7.68,26,162905.285785
7.79,39,162917.03509
7.4,21,162922.840163
6.66,18,162928.378827
7.9,40,162940.00642
7.34,28,162948.51329
7.33,30,162957.410621
7.95,39,162968.005876
5.61,16,162972.805371
6.66,30,162981.381018
7.12,27,162989.270024
6.56,24,162995.979548
7.85,25,163003.325089
8.84,31,163012.477841
6.33,25,163019.114434
6.44,24,163025.801105
7.68,28,163033.522528
7.5,32,163042.342848
5.6,22,163048.910417
6.98,27,163056.350376
4.53,17,163061.355621
7.84,36,163071.809997
7.08,27,163079.806712
7.77,28,163087.87993
7.84,35,163097.124575
7.28,42,163109.060925
7.04,27,163117.043597
8.36,39,163128.149363
7.08,34,163137.967504
6.19,23,163145.222338
7.86,34,163154.877354
7.73,28,163163.076331
8.22,27,163170.7705
6.33,20,163176.495903
6.26,27,163184.451122
7.21,27,163192.034838
7.83,36,163202.300967
7.19,31,163211.102134
6.26,32,163220.530211
8.0,27,163228.234302
7.13,38,163239.255865
7.41,30,163248.267258
5.82,34,163257.77152
6.52,26,163265.191478
7.8,28,163273.799234
6.74,28,163281.583987
8.12,34,163291.563151
5.79,23,163298.258953
8.54,36,163308.342499
6.75,23,163314.808609
7.1,33,163323.927746
6.58,25,163331.565461
8.02,29,163339.944532
7.63,33,163349.697546
7.34,37,163360.221918
7.49,34,163370.436
8.2,24,163377.742994
6.93,20,163383.296845
7.66,34,163393.541301
7.57,25,163400.349734
7.4,27,163409.063835
7.72,31,163418.64069
8.11,30,163427.372602
6.99,35,163437.678983
7.65,25,163444.707506
7.87,30,163454.133821
7.31,30,163462.656802
6.73,25,163470.441087
6.9,22,163476.280122
5.15,17,163481.354393
7.32,41,163493.301164
8.03,34,163502.937965
6.41,27,163511.614685
7.92,34,163521.876973
7.75,38,163533.576201
7.37,34,163543.186241
7.21,27,163551.146765
7.02,35,163561.002258
8.46,36,163571.083398
7.69,29,163579.497122
7.34,32,163589.100714
6.95,28,163597.0524
6.56,27,163604.735743
8.32,35,163615.015351
7.96,35,163625.202276
6.75,35,163634.667104
7.76,27,163642.52137
5.88,26,163650.185957
6.92,30,163659.078478
8.03,27,163666.947027
7.71,29,163675.239954
7.8,29,163683.63392
7.1,27,163690.986237
7.24,29,163699.24909
6.85,35,163709.182336
7.53,38,163720.474488
7.36,23,163727.370445
7.75,33,163736.754729
6.97,30,163745.757839
7.34,32,163755.025355
7.96,31,163763.58005
7.3,30,163772.591337
7.57,24,163779.403714
7.77,30,163788.037853
7.53,33,163798.207468
7.01,21,163804.107979
6.39,25,163811.276019
7.55,23,163819.516241
7.5,24,163826.630008
7.87,28,163834.87514
8.06,33,163844.705673
7.59,30,163853.158891
7.1,34,163863.118961
7.34,25,163870.033779
7.87,25,163877.085257
7.14,28,163885.109612
6.68,31,163894.221541
6.75,24,163901.244556
6.98,17,163905.779869
8.02,27,163913.463671
7.96,38,163924.143487
7.82,28,163932.787817
7.92,33,163941.96193
5.17,23,163948.609634
5.99,27,163956.380181
5.47,18,163962.074281
6.91,32,163971.281206
7.17,27,163978.927583
8.04,33,163988.417802
8.29,31,163996.643641
7.64,40,164008.187853
7.9,31,164017.243724
5.83,24,164023.783319
7.0,31,164032.300436
6.22,25,164039.429901
7.06,29,164047.88693
6.65,29,164056.212256
7.98,24,164063.001231
7.68,28,164071.144954
7.99,33,164080.345302
7.72,35,164090.517605
7.43,33,164099.548935
7.85,35,164109.429366
7.62,25,164117.485418
8.19,29,164125.437583
6.8,20,164131.692722
7.12,30,164140.224814
6.67,29,164148.599729
7.35,22,164154.696757
7.13,24,164162.478931
6.94,30,164170.944868
6.81,23,164178.240781
7.69,38,164189.257654
7.41,35,164199.071436
6.69,33,164208.830812
7.19,33,164218.510746
7.43,30,164226.860391
5.99,23,164234.470302
5.63,21,164239.980693
6.86,23,164247.115404
7.46,34,164256.521039
6.95,21,164262.828338
7.43,20,164268.225354
6.56,26,164275.729582
6.87,24,164282.355936
7.87,22,164289.054619
6.66,28,164297.11656
7.66,37,164307.596891
6.59,27,164315.546939
7.84,30,164324.201957
8.27,27,164331.656904
5.85,19,164337.551331
7.43,31,164346.136479
7.02,29,164354.046942
7.46,30,164362.49688
7.64,33,164371.411461
6.36,24,164379.135062
8.27,40,164390.333089
5.9,17,164395.485743
6.18,25,164402.398702
7.37,32,164411.683188
7.35,28,164420.422977
7.32,26,164427.764161
8.52,24,164434.990367
6.97,23,164442.991691
5.15,19,164448.522026
8.05,36,164458.938894
7.5,29,164467.40826
6.97,27,164474.694437
6.8,32,164483.848791
7.44,29,164492.128543
8.31,35,164502.294989
5.66,28,164510.829258
7.29,42,164523.058597
6.69,28,164530.905296
7.45,29,164539.630028
7.5,23,164546.157593
7.42,31,164555.476973
6.64,30,164564.106456
8.24,33,164573.665752
8.04,29,164582.043542
7.05,28,164589.636963
7.39,34,164599.898275
6.78,22,164605.864322
7.1,32,164616.093457
7.48,27,164624.394056
6.72,36,164634.400612
7.17,34,164644.261897
6.5,22,164650.558698
7.3,30,164660.012765
7.5,39,164671.267219
7.39,25,164678.319794
7.44,31,164686.917866
6.76,27,164694.441062
7.92,31,164703.224827
7.47,25,164710.660008
7.71,26,164717.678745
8.16,37,164728.326838
6.78,29,164736.44483
6.94,26,164744.036402
7.2,28,164752.12215
6.99,27,164759.88722
7.31,23,164766.233959
7.15,23,164773.144067
7.62,31,164782.385281
6.48,29,164790.362006
6.71,21,164796.390246
8.58,34,164805.586378
6.72,25,164812.766981
7.62,40,164824.690636
7.07,27,164832.036014
7.35,29,164840.502779
7.43,24,164847.345581
6.83,21,164853.473117
7.24,23,164860.113697
7.95,25,164867.2588
7.27,26,164874.971055
6.69,29,164883.147042
7.09,28,164891.246861
7.69,34,164901.239609
7.08,28,164909.296644
7.24,26,164917.358017
6.48,25,164923.908005
6.99,27,164932.271547
7.65,32,164941.616384
7.16,31,164950.628667
6.76,25,164958.048729
7.04,33,164967.134767
7.76,29,164975.95133
7.35,29,164984.691992
8.17,24,164991.108704
6.23,25,164998.054791
7.87,29,165005.887838
7.41,35,165015.946269
8.35,38,165026.949053
7.03,24,165033.743341
7.59,29,165042.127328
7.32,30,165050.279244
8.01,35,165060.251218
6.44,26,165067.440323
7.69,35,165077.381464
5.72,27,165085.078601
7.93,37,165095.562402
6.04,19,165100.918406
7.47,36,165111.078775
7.1,32,165120.81973
7.52,35,165131.05148
7.58,34,165140.658343
7.2,15,165145.000377
7.18,26,165152.027906
6.88,36,165163.379733
8.26,29,165171.692308
8.11,29,165179.911235
6.0,26,165187.56852
6.98,30,165195.864511
6.17,22,165202.637272
7.78,32,165211.575129
7.55,33,165221.244336
6.89,31,165230.780057
6.83,22,165237.008433
6.68,23,165243.910389
8.24,39,165255.209617
6.08,20,165261.272286
6.82,23,165267.533154
6.95,33,165277.243208
7.7,41,165289.752888
7.72,28,165297.483189
7.37,31,165306.905636
6.27,22,165312.837674
7.3,28,165321.223143
8.56,36,165331.630683
8.03,31,165340.408235
8.13,32,165349.934774
7.28,25,165356.701336
7.5,21,165362.823642
7.19,35,165373.015178
6.1,27,165380.231164
8.1,19,165385.323038
7.31,24,165392.044084
7.56,38,165402.99511
6.75,25,165409.967472
8.21,40,165421.55742
7.44,28,165429.791982
6.98,34,165439.652353
8.46,35,165449.945945
6.27,28,165457.759285
7.41,33,165467.440738
7.72,37,165478.4523
5.93,25,165485.422912
7.31,32,165494.943716
8.08,34,165504.784567
7.05,31,165513.450893
7.29,31,165522.475996
7.25,26,165530.096795
7.0,31,165539.291851
6.11,21,165545.226503
8.3,28,165553.320758
7.3,30,165561.990967
7.46,30,165571.005351
7.28,24,165578.060868
7.34,34,165587.426198
7.45,28,165595.660556
6.6,23,165602.079953
6.93,25,165609.991122
7.14,29,165618.542062
4.19,23,165625.215383
5.87,33,165635.013275
7.31,36,165645.280886
6.11,27,165652.949675
8.12,36,165664.340875
7.47,29,165672.42179
8.2,30,165681.373236
7.03,35,165691.292531
7.38,31,165700.35954
6.84,34,165710.333827
6.51,29,165718.320848
7.3,41,165731.921659
7.87,34,165744.009916
6.73,39,165757.081735
6.42,27,165765.542375
7.38,28,165774.656401
6.84,19,165780.787967
7.52,32,165790.756119
7.58,34,165800.675382
5.87,22,165807.588123
7.68,30,165816.047854
6.89,27,165823.631819
6.15,26,165831.958879
7.76,26,165838.946086
7.04,32,165848.186157
7.18,34,165857.378317
8.26,31,165866.948664
8.14,28,165874.853811
7.75,34,165884.811987
7.02,30,165893.73809
7.93,24,165900.588191
5.58,25,165907.946908
6.95,28,165915.951769
6.54,34,165926.273086
7.12,24,165933.368342
7.46,32,165942.153138
6.62,24,165949.325204
7.41,22,165955.640522
6.77,18,165960.694803
7.44,37,165971.295587
7.68,36,165981.964693
6.17,24,165988.423182
7.58,38,165999.826396
8.2,31,166009.149055
8.04,37,166020.073575
7.29,25,166027.890879
6.21,27,166035.874576
7.57,33,166045.653466
8.39,32,166054.739213
6.51,30,166063.030497
7.89,25,166069.941467
6.97,27,166078.304884
7.8,25,166085.349566
8.06,30,166093.98209
7.14,27,166101.350142
8.42,29,166109.890219
6.98,25,166116.761935
7.16,28,166125.070869
7.31,28,166132.643882
7.29,31,166141.715444
8.49,24,166148.897226
5.67,22,166155.499977
7.34,25,166162.784705
7.55,28,166170.600236
7.12,34,166180.835064
7.37,28,166188.976463
8.42,30,166197.627485
7.21,28,166206.02011
7.23,23,166212.921905
7.28,26,166220.701762
7.65,32,166230.244668
8.04,34,166240.428953
6.81,37,166250.73605
8.05,30,166259.381614
7.29,28,166267.715882
7.88,25,166275.004383
7.66,38,166285.986192
7.98,33,166295.862133
7.58,28,166304.090899
5.58,25,166311.490702
6.55,29,166319.568852
8.26,33,166329.019811
7.11,26,166336.087114
7.08,22,166342.558736
7.69,27,166350.561269
7.66,27,166358.773387
7.64,29,166366.63949
7.71,33,166376.305202
7.25,30,166384.898937
7.12,23,166391.540211
7.87,28,166399.193529
8.3,36,166409.076731
7.7,27,166416.905253
8.02,37,166427.40278
7.83,31,166436.203068
7.21,26,166443.501334
6.01,26,166451.001392
7.44,25,166458.45842
5.67,24,166465.289574
8.12,18,166470.614355
7.82,34,166480.390708
8.07,24,166487.814022
6.72,28,166495.381387
8.18,40,166506.998273
6.9,33,166517.338002
7.4,29,166525.509198
7.53,32,166535.123482
7.78,36,166546.016804
5.2,22,166552.381871
7.48,28,166561.254954
8.24,43,166574.076021
7.41,29,166582.605374
7.52,28,166591.009296
7.14,22,166597.495267
7.95,32,166607.092826
7.68,22,166613.399587
6.96,34,166623.612359
7.18,27,166631.751454
7.61,32,166641.0339
6.82,30,166650.747171
6.42,29,166659.159197
6.03,23,166666.47637
8.08,38,166677.337218
7.26,30,166685.620123
5.86,21,166692.182059
7.61,35,166702.084142
6.47,24,166709.330539
5.39,20,166714.951483
7.77,28,166723.294113
6.7,25,166730.345077
7.5,36,166741.340514
7.67,37,166752.562186
7.35,29,166760.674426
7.55,36,166771.524378
5.59,22,166777.588644
7.26,26,166785.11972
7.72,27,166792.628506
8.13,27,166800.484352
4.82,23,166807.207899
7.5,22,166814.034399
8.12,35,166824.848203
8.64,30,166833.208375
8.66,30,166841.895092
7.86,34,166851.362823
8.3,34,166860.974014
8.12,38,166872.521875
6.03,29,166880.996804
7.8,32,166890.417837
7.83,24,166897.34158
7.91,33,166906.418504
7.34,29,166915.115191
7.66,28,166922.772894
6.82,36,166933.169709
7.37,29,166941.695054
7.62,30,166950.1357
8.1,32,166959.605752
7.51,29,166968.215305
6.64,31,166977.120731
6.25,31,166986.421883
6.77,26,166993.351276
7.3,24,167000.3471
7.61,37,167011.176752
7.98,36,167021.266262
6.67,30,167029.831861
5.39,33,167039.173146
7.54,27,167046.853273
7.2,38,167058.050162
7.85,31,167066.766711
6.82,30,167075.507535
6.99,28,167083.775064
7.78,33,167093.203636
7.15,34,167102.966714
7.23,29,167111.914715
5.5,23,167118.209783
6.28,27,167126.521521
7.14,22,167132.638732
8.05,36,167143.042186
7.2,30,167151.422132
7.0,35,167161.748082
8.39,41,167173.655058
7.8,26,167180.972482
7.43,26,167188.311067
7.41,36,167199.238216
7.02,28,167206.898346
7.53,21,167213.533577
7.07,22,167219.242692
5.26,19,167224.437527
5.7,25,167231.577725
7.54,27,167239.417984
7.44,29,167247.748385
7.05,32,167257.195881
6.74,27,167264.402488
6.93,24,167271.440936
7.6,35,167281.353871
6.89,35,167292.0548
6.5,23,167299.04766
8.28,31,167307.532826
7.32,20,167313.323906
6.29,22,167319.528877
8.16,32,167329.02523
7.52,35,167338.90662
7.94,28,167346.778525
7.27,25,167353.379966
8.03,24,167360.730631
8.47,24,167367.325359
6.85,26,167375.154284
7.03,30,167383.62868
7.4,35,167393.93641
7.6,30,167402.5477
6.48,30,167410.967434
6.82,27,167418.989386
7.76,30,167428.205605
7.4,25,167434.915601
8.02,27,167442.739805
7.94,22,167448.493311
7.28,24,167455.060216
7.89,22,167461.662999
7.33,33,167471.440162
7.21,27,167479.022264
5.81,26,167487.285717
5.74,29,167495.02907
7.44,31,167504.287455
6.57,19,167509.616057
8.29,39,167521.0347
8.26,28,167529.01403
6.46,24,167535.42434
7.24,17,167540.190057
5.33,27,167548.116649
7.44,31,167556.565046
7.19,29,167565.015086
8.09,32,167573.975553
7.11,30,167582.295193
6.14,18,167587.438812
8.54,39,167598.077652
7.09,26,167605.443405
7.69,23,167611.671327
7.96,33,167621.782536
7.03,28,167629.594608
7.16,33,167639.050601
7.34,29,167647.718568
7.9,28,167655.592017
6.82,28,167663.624079
7.24,28,167671.753303
6.26,25,167678.441298
6.87,29,167686.894388
7.41,33,167696.625288
7.7,28,167705.03228
7.12,21,167710.830417
6.3,23,167717.346158
7.53,32,167726.580213
7.36,29,167735.172335
6.64,20,167741.062625
7.8,27,167748.678035
6.92,23,167754.988633
7.25,31,167764.055857
7.15,30,167772.747149
7.39,28,167780.359392
7.26,21,167786.312249
5.67,21,167792.109026
6.57,23,167798.346665
6.84,22,167805.010891
7.54,33,167814.555403
5.89,29,167822.755907
6.58,24,167829.591782
6.8,32,167838.974795
7.24,31,167848.685819
8.19,29,167856.540219
7.28,37,167867.931051
7.56,40,167879.401781
8.67,27,167887.083513
7.44,31,167896.169487
7.76,27,167904.007188
4.75,24,167910.525122
6.6,26,167918.318794
7.8,25,167925.297145
5.99,26,167933.104356
5.75,23,167939.157819
5.84,26,167946.889184
7.04,27,167954.413865
7.4,24,167961.235534
7.24,37,167971.547373
7.57,40,167983.112529
8.6,35,167993.276819
7.61,23,167999.688875
7.0,26,168007.329764
7.2,27,168014.924886
7.57,30,168023.709171
8.33,23,168030.938363
7.7,34,168040.999309
5.71,27,168048.903226
7.02,26,168056.346762
7.23,26,168063.938067
6.5,21,168069.611598
6.92,27,168077.351905
6.89,33,168086.896848
5.7,23,168093.467417
7.7,32,168102.732285
7.45,28,168109.767861
6.15,18,168114.949876
7.64,28,168122.921127
7.07,32,168132.127677
7.26,32,168140.905903
6.86,26,168148.830494
7.99,25,168155.694332
7.15,30,168164.285609
7.12,33,168173.78786
7.95,30,168182.446037
8.14,25,168190.340816
6.85,18,168195.263046
7.24,25,168202.595734
6.98,20,168209.058079
7.61,32,168219.382543
7.32,40,168230.570019
6.14,27,168238.66042
7.68,31,168247.670143
7.08,35,168257.683792
7.33,37,168268.761965
7.58,29,168277.123062
5.83,19,168282.292376
7.54,22,168288.06614
8.52,32,168296.862649
7.36,30,168305.348194
7.16,23,168311.921035
7.93,32,168320.732725
6.68,29,168328.610983
8.01,26,168336.474135
7.95,37,168347.103928
7.61,34,168356.646231
7.38,38,168367.440025
8.68,43,168379.839164
7.67,27,168387.103467
6.8,29,168395.629925
6.92,30,168404.310538
8.18,39,168414.882498
7.29,27,168422.494488
7.0,34,168432.152695
8.09,30,168440.538134
6.08,23,168447.612105
7.32,21,168453.379596
7.13,31,168462.480656
7.94,42,168474.411395
6.11,25,168481.337663
6.67,21,168487.016423
8.58,39,168497.868687
7.62,32,168506.665841
7.38,32,168515.780984
6.65,25,168522.781084
7.96,33,168532.025607
7.79,25,168538.772417
5.73,26,168546.585123
8.16,31,168554.891663
7.37,28,168563.049681
6.4,19,168568.219314
7.61,29,168576.359604
7.0,21,168581.969259
8.59,24,168588.937627
4.85,25,168596.031961
8.77,43,168607.9159
7.2,34,168617.780305
8.34,34,168627.840682
7.32,30,168636.625798
6.01,34,168646.435365
7.61,29,168655.012589
8.06,33,168664.476848
6.0,25,168671.412574
7.92,28,168679.761209
6.51,24,168686.297958
6.59,37,168697.123639
6.74,31,168706.178813
7.23,29,168714.248753
7.44,32,168723.313386
7.98,32,168732.494119
7.04,27,168740.219837
7.99,38,168751.351395
5.89,32,168760.590641
7.65,33,168769.72354
8.36,36,168779.945095
8.55,29,168788.450577
7.71,31,168797.148067
7.71,33,168806.935756
7.12,28,168814.926478
5.32,26,168822.498335
7.4,24,168829.407212
8.38,25,168836.201864
7.47,30,168845.242929
6.94,31,168853.931444
7.21,27,168861.919777
7.14,29,168870.455079
6.81,31,168879.664398
6.94,30,168888.655629
6.35,33,168897.828292
7.7,36,168908.541763
7.91,34,168918.083454
6.75,32,168927.018106
7.76,33,168936.821039
5.12,25,168943.60048
7.6,28,168952.341877
7.84,29,168960.97869
6.99,24,168967.341634
7.26,37,168978.274895
7.57,34,168988.019949
8.2,37,168998.904335
7.31,28,169007.52372
7.51,33,169016.456539
7.14,37,169027.254765
6.84,26,169034.962589
7.99,28,169042.772696
7.05,34,169052.428132
6.44,33,169062.127145
6.84,30,169070.077323
7.26,32,169079.016387
7.06,28,169087.133065
8.39,28,169095.374164
7.81,32,169104.890095
3.78,13,169108.638672
7.37,27,169116.325155
7.98,28,169124.769545
6.09,20,169130.315065
8.16,38,169141.663576
7.86,33,169151.482629
7.87,28,169159.463996
7.31,31,169168.816448
7.8,33,169179.415865
8.12,32,169188.429455
7.44,28,169196.769908
7.56,28,169204.880918
7.22,26,169212.32925
7.83,24,169219.033005
7.12,30,169227.60018
6.76,27,169235.596275
7.29,34,169245.416897
8.12,36,169255.708833
6.63,26,169263.31835
6.56,28,169271.705362
6.94,20,169277.544195
8.2,30,169286.228794
7.89,30,169294.89001
7.92,37,169305.683986
7.38,39,169319.294863
6.24,27,169328.855352
8.86,38,169341.328546
7.51,20,169347.20681
8.11,26,169354.90462
7.08,32,169365.13711
7.25,31,169373.779484
7.25,26,169381.238888
8.42,27,169389.461786
6.37,18,169394.362275
7.78,29,169402.878354
7.46,30,169411.710341
8.1,29,169419.749655
7.28,26,169426.94726
6.91,18,169432.371891
8.38,35,169442.879419
6.45,20,169449.093798
6.78,25,169456.405233
8.02,37,169467.088109
7.52,28,169474.670074
8.19,38,169485.752611
